organisation,city,addressbook_id,description,image1,showhotel,image2,image3,image4,starcategories_id,cuisine,bars,restaurants,checkout,accessrail,accessair,accessbus,advantage,logo,rooms,ac,roomfacility,otherfacility,services,creditcards,fhra,WebWriteUp1,WebWriteUp2,url,Metatype,Descr,Keywords,Display,CheckIn,ChildExtraBed,Pets,Bedroom,HotelView,Outdoors,Amenities,Activities,LivingArea,Media,Food,Internet,Parking,HotelServices,General,Chk_BF_Incl,Chk_Board,Chk_ChildFree,Chk_Restaurant,Chk_Bar,Chk_BusiCentre,Chk_Parking,Chk_Swim,Chk_Laundry,Chk_Fitness,Chk_Sauna,Chk_AC,Chk_Heating,Chk_Wifi,Chk_MiniBar,Chk_Phone,Chk_Security,Chk_Smoke,Chk_Cable
"East Bourne Resort",Shimla,2446,"A contemporary style resort a short distance away from chattering crowds of Shimla's Mall Road, Eastbourne Resorts boasts of having the largest hotel rooms in the city. 

However, neither overwhelmingly large nor impersonal and plasticky, this is hotel with a lot of class and character of its own, built like a group  of stone cottages with pointed roofs. 

Rooms look out upon the fragrant rose garden below and beyond, to the conical heads of oak and pine trees extending down the hill slopes.",,,,,,,,,,,,,,,,,,,,,,,"Its large rooms face the sun and tall pines and their interiors are elegant with gleaming dark wood floors and furniture. Large beds dominate the rooms and lean against soft, white headboards and muted lighting is reflected in glass topped tables. Their bathrooms are a bit on the small side but immensely stlylish - white Italian marble, hidden lighting, and showers with about 15 different knobs. Rooms are provided with tea and coffee makers so that you can still laze around the rooms in your pyjamas while you enjoy that first cup of tea or coffee. 

But the breakfast buffet is tempting enough to get you downstairs soon enough - seasonal fresh fruits and a choice of Indian and Continental  items are on display, along with freshly brewed tea and coffee. Breakfast is served in the formal, sunshine flooded indoor restaurant where lunch and dinner is also served. There are however 2 terraced restaurants also, one which serves up bar-be-qued snacks under a starry sky.

Being a resort they are fairly serious about the spa and gym facilities they offer. While there is already a Kerala Ayurvedic Health Spa in place, offering not just massage therapies but beauty treatments as well, and they plan to add a heated indoor pool and a couple to massage tubs as well.",,east-bourne-resort,"A contemporary style resort a short distance away from chattering crowds of Shimla's Mall Road, Eastbourne Resorts boasts of having the largest hotel rooms in the city. ","East Bourne Resort in Shimla - Travel in India | Travellers Palm",,1,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Himalayan Hideaway",Rishikesh,2448,"The Himalayan Hideaway is tucked away in a bend of a road which leads away from the busy town of Rishikesh towards the hills.

Consisting of a group of stone cottages, there are only 10 rooms, each  carefully designed to offer space and privacy to guests. Each room has a sit-out with views of the river or forest. 

The eco garden and the indigenous style of architecture attest to the owners deep love of the land and the desire to restrict their impact on it.",,,,,,,,,,,,,,,,,,,,,,,"The cottages are large and airy, with rough stone floors - terracotta coloured in the bedrooms and smooth black in the bathrooms. The simple beds covered with colourful hand block printed sheets. A scarred wood chest and writing table and chair complete the bedroom. The bathrooms are deliberately kept simple but have modern fittings. 

The balconies and verandahs are best enjoyed in the cool mornings with a steaming hot cup of tea or coffee. The sounds of the forest are also most easily heard at this time, and guests have caught glimpses of barking deer and jungle fowl. 

Food is usually served buffet style in the large dining area, although on occasion there is an outdoor barbeque and bonfire. A small thatched hut is used as an outdoor massage room. You can walk down to the river's edge to watch the brightly coloured river rafts make their way across the rapids, or the staff can recommend trails for birdwatching and easy walks in the forest.",,himalayan-hideaway,"The Himalayan Hideaway is tucked away in a bend of a road which leads away from the busy town of Rishikesh towards the hills.","Himalayan Hideaway in Rishikesh - Travel in India | Travellers Palm","himalayan hideaway, hotel, rishikesh, ganges, rafting, special places",1,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rainforest House",Rishikesh,2449,"A labour of love for Steve Dunjey and his architect wife Trupti, the Rainforest House is a small boutique guesthouse on the banks of the grey waters of the Ganges. 

They have created a property that disturbed very little of the intrinsic beauty of their forested piece of land, bordered by the Shivalik hills on one side and the swiftly flowing Ganges on the other. 

The rooms use forest colours of deep green and brown and have a rustic charm.",,,,,,,,,,,,,,,,,,,,,,,"With just 9 rooms, Rainforest House is a small intimate guesthouse. Rough stone walls contrast with smooth red floors; lazy canvas chairs invite you to relax. Large, neatly made up beds, and corner bookcases lend a homely air to the rooms. The upstairs rooms have private sit outs that overlook the garden below. 

The common area is a raised platform with wispy curtains billowing in the breeze, furnished with squashy cushions. This open air area becomes magical at night as you enjoy a vegetarian meal on slatted wooden patio furniture. There is a small courtyard garden graced by a shady mango tree. 

The rooms have air conditioning but no televisions or telephones; Steve and Trupti are keen that guests to appreciate the natural beauty of the surroundings, best enjoyed by making your way back down the narrow rocky path that leads to the hotel. You end up at a large grey boulder by the river called ""jumping rock"", from where you can plunge right into the waters.",,rainforest-house,"A labour of love for Steve Dunjey and his architect wife Trupti, the Rainforest House is a small boutique guesthouse on the banks of the grey waters of the Ganges. ","Rainforest House in Rishikesh - Travel in India | Travellers Palm","rainforest house, hotel, homestay, rishikesh, ganges, special places",1,,,,,,,,,,,,"Free High Speed Internet ( WiFi )","Free Parking is available",,,0,0,,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"Hotel City Heart",Chamba,2450,"Located at a few minutes walk from the bazaar, Hotel City Heart is modern and well maintained. 

Some rooms offer good views of the grassy maidan that forms the centre of Chamba, and of the mountains beyond. 

The restaurant is probably the only dining option in town and is located in a simple dining room with large windows overlooking the city.",,,,,,,,,,,,,,,,,,,,,,,"The rooms are the best kept in Chamba, well sized and with large beds and a well appointed bathroom. The curtains and upholstery tends to be of the shiny, tasseled variety but the sheets are clean. There are sofas and armchairs in the rooms as well as a writing table and a television with international channels. 
  
The bathrooms have been recently renovated and are clean and cheerful.
  
Most of the little town's attractions are within walking distance of the hotel and one can even see the beehive like spire of the city temple from the hotel.",,hotel-city-heart,"Located at a few minutes walk from the bazaar, Hotel City Heart is modern and well maintained. ","Hotel City Heart in Chamba - Travel in India | Travellers Palm","hotel city heart, chamba, himachal pradesh, special  places, himalaya",1,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Comfort Inn Lucknow",Lucknow,2451,"An extremely comfortable 4 star hotel, the Comfort Inn Lucknow is located in the quiet residential area of Gomti Nagar. Its rooms have been recently refurbished, giving the hotel a new, clean feel.  There is a pleasant rooftop restaurant.
 
The rooms now have a sleek, contemporary feel, with clean lined dark wood furniture and muted tones of brown and grey. Zebra striped cushions enliven the rooms, and sunlight streams in from the large square windows.",,,,,,,,,,,,,,,,,,,,,,,"Being a business hotel, Comfort Inn offers such services as a travel desk, a business centre, and a mini-bar and tea/coffee maker in the rooms.
 
The rooftop restaurant serves a buffet breakfast out on the terrace, and lunch and dinner in the enclosed section. The menu includes Indian, Chinese and Continental food. There is also a coffee shop.",,comfort-inn-lucknow,"An extremely comfortable 4 star hotel, the Comfort Inn Lucknow is located in the quiet residential area of Gomti Nagar. Its rooms have been recently refurbished, giving the hotel a new, clean feel.  There is a pleasant rooftop restaurant.","Comfort Inn Lucknow in Lucknow - Travel in India | Travellers Palm","comfort inn, lucknow, hotel, uttar pradesh, special places",1,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bethsaida Hermitage",Kovalam,2455,,,,,,,,,,,,,,,,,,,,,,,,,,bethsaida-hermitage,,"Bethsaida Hermitage in Kovalam - Travel in India | Travellers Palm",,1,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rain Tree",Kochi,2456,,,,,,,,,,,,,,,,,,,,,,,,,,rain-tree,,"Rain Tree in Kochi - Travel in India | Travellers Palm",,1,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lake Forest Hotel",Yercaud,2457,,,,,,,,,,,,,,,,,,,,,,,,,,lake-forest-hotel,,"Lake Forest Hotel in Yercaud - Travel in India | Travellers Palm",,1,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trinity at Fort Cochin",Kochi,2458,,,,,,,,,,,,,,,,,,,,,,,,,,trinity,,"Trinity in Kochi - Travel in India | Travellers Palm",,1,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shamrock,Munnar,2459,,,,,,,,,,,,,,,,,,,,,,,,,,shamrock,,"Shamrock in Munnar - Travel in India | Travellers Palm",,1,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tea Bungalow",Kochi,2461,"The Tea Bungalow is a restored colonial villa, close to Fort Cochin's spice district. It is a great mix of contempory style and colour with elements of Fort Cochin's heritage.

The hotel has ten spacious air-conditioned bedrooms and plenty of space in communal areas. There is indoor or outdoor dining, a patio area with sunbeds and a decent swimming pool and upstairs also boasts a large residents lounge and veranda.",,,,,,,,,,,,,,,,,,,,,,,"The bungalow was built in 1912 and run as a workshop and office of a UK Company called United Carpets engaged in the manufacture and export of coir and spices. Brooke Bond, the tea company, bought the bungalow in 1956 and christened it Brooke Bond Bungalow which housed the top management of Brooke Bond & Company. Dignitaries used this bungalow for important meetings. 

By the time it was sold again, some 50 years later, it was empty and semi-derelict. A 2-year restoration followed, and in 2009 it re-emerged as a small heritage hotel. Its history of spice and tea brought about its new avatar - Tea Bungalow. 

Tea Bungalow has 10 large en-suite rooms each named after a port involved in spice and tea trading from lands around the Indian Ocean. The rooms are named Cochin, Zanzibar, Galle, Mombasa, Muscat, Malacca, Mauritius, Cambay, Goa and Calicut. Each room has deft design touches of each ethnic port. 

The Tea Bungalow blends the history as a residence for execs of the tea company, with the modernity of a western 'boutique' hip hotel style. Polished hardwood floors, French windows, floor length drapes, high ceiling red tiled roof and an exquisite chandelier are complemented by vibrant colours and beautifully designed modern bathrooms. 

Centrally located, the hotel is just a five minute walk from key sights in Fort Cochin and a short 'tuktuk' ride from the spice markets, Hindu temples and Jew Town. ",,tea-bungalow,,"Tea Bungalow in Kochi - Travel in India | Travellers Palm",,1,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sea Palace Hotel",Mumbai,2462,"This comfortable mid range hotel has an enviable location near the Gateway of India and the famous Taj Mahal Hotel. It overlooks the Mumbai harbour, and there is a magnificent unrestricted sea view from the breezy rooftop restaurant and bar. The rooms are compact, but well furnished, with good modern bathrooms. Colaba Causeway, the best known shopping centre in South Mumbai, is also nearby.",,,,,,3,,,,12:00,,,,,,50,,,,,"Visa & Mastercard",,"The Hotel Sea Palace is located on one of Mumbai's most exclusive promenades. It shares this sweep of road along the grey-brown Arabian Sea with such historical and architectural giants as the Gateway of India and the Taj Mahal Palace hotel. The hotel windows look out upon ferries, ships and barges in the waters, and tall trees and flowers that nod in the rhythm of the balmy sea breeze. 

The sunny rooms have been recently renovated and are further brightened by lime green and peach colour tones. Comfortable beds sit on light wooden floors, and the bathrooms are clean with modern facilities. With the sea on one side and the hotel's garden on the other, the rooms are well protected from the usual noise of Mumbai's street traffic.

The hotel's outdoor cafe is bordered by long branches of colourful bougainvillea and covered by a candy striped awning, and is a great place for a mid-day coffee or a light lunch. The indoor restaurant inside a respectable collection of wines and foods from all over the world - including the unrivalled specialities of Parsi cooking.

Many of Mumbai's attractions are a short walk away - the busy street bazaar of Colaba Causeway, the Chhatrapati Shivaji Museum - Mumbai's most important, as well as numerous art galleries. The residential buildings that neighbour the hotel hark back to the days of the British Raj and many still bear the original names and facades.",,sea-palace-hotel,"Sea Palace Hotel is situated on the sea front facing the Mumbai harbour with a magnificent unrestricted sea view. ","Sea Palace Hotel in Mumbai - Travel in India | Travellers Palm","sea palace, hotel, mumbai, gateway, india, special places",1,12:00,,"Pets are not allowed.",,,"Garden, Terrace",,"Children's playground",,"Radio, Cable Channels, Satellite Channels, Telephone","Restaurant, Bar, Restaurant (� la carte), Restaurant (buffet), Snack bar
","Free! WiFi is available in all areas and is free of charge.","Free! Free private parking is possible on site (reservation is needed).","Room service, Airport shuttle, Car hire, 24-hour front desk, Express check-in/check-out, Currency exchange, Tour desk, Luggage storage, Laundry, Dry cleaning, Ironing service, Shoeshine, Meeting/banquet facilities, Business centre, Fax/photocopying
","Newspapers, Safety deposit box, Non-smoking rooms, Facilities for disabled guests, Family rooms, Lift, Air conditioning, Tile/Marble floor, Fan, Ironing Facilities, Iron
",1,0,5,1,1,1,1,0,1,0,0,1,0,1,0,1,1,0,1
"Barefoot at Havelock","Havelock Island",2463,"Barefoot at Havelock, the only eco-hideaway in the Andaman Islands, is set amidst rainforest and tropical fruit trees behind a pristine 2 km white-sand stretch of the quirkily named Beach No. 7 at Havelock Island. 

It offers 18 beautifully designed cottages that are scattered over 7 acres of grounds, their hardwood walls and conical thatch roofs blending into the tropical foliage.",,,,,,,,,,11:00,,,,,,,,,,,,,"What makes Barefoot a unique eco-hideaway is the ""Barefoot Philosophy"" that believes in a minimal footprint on the environment. The resort maintains and lives up to this philosophy by using indigenous materials and energy sources, harvesting rainwater, and engaging local people as their staff. However, Barefoot offers basic comforts such as modern plumbing, air-conditioning or ceiling fans. 

The facilities at the resort include a Multi Cuisine Restaurant & Bar. Actvities available include Motor-cycle hire, Fishing, Kayak trips through mangrove creeks, Snorkelling or Diving the reefs, Camping on a deserted island, Yoga and Birdwatching. 

At Barefoot you're cut off from the rest of the world, with no television, newspapers, internet or (sometimes) telephone - bliss for some! Perfect, if you are looking for an unpretentious hideaway in one of the world's last undeveloped tropical islands.",,barefoot-at-havelock,"Barefoot at Havelock, the Andaman Islands' only eco-hideaway is set in rainforest and tropical fruit trees behind a pristine 2 km white-sand stretch of the quirkily named Beach No. 7 at Havelock Island. ","Barefoot at Havelock in Havelock Island - Travel in India | Travellers Palm","barefoot at Havelock, island, andaman nicobar, beach, diving, coral",1,13:00,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Orchha Resort",Orchha,2466,"In a spectacular location, overlooking the Betwa River and the monuments and palaces of Orchha, this old fashioned resort has comfortable rooms, a large swimming pool, and a garden area which also boasts tented accommodation. ",,,,,,,,,,,,,,,,,,,,,"All Major credit card accepted",,,,orchha-resort,,"Orchha Resort in Orchha - Travel in India | Travellers Palm",,1,,,,,,,,"Tennis Court, Carrom, Cards, Housie,Traditional Indian Folk Dances every evening,Children Play Park,Outdoor Badminton & Tennis Facility at the river side",,,,"High Speed Internet","Free Parking Facility","Foreign Exchange services
","Momento Shop,Travel Assistance,Baby Sitting,Doctor on Call
",0,0,,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0
"TSG Emerald View","Port Blair",2467,"TSG Emerald View is one of the best budget hotels in Port Blair. 

It offers 19 well-appointed air-conditioned rooms with ensuite bathroom, and facilities such as a television, mini bar, and tea and coffee maker. The rooms do not have any interesting views but they offer excellent value for money.

TGS Emerald View has a multi cuisine restaurant and bar, a roof top restaurant and an air conditioned bar.",,,,,,,,,,,,,,,,,,,,,,,"This budget hotel has nineteen well furnished rooms that come with amenities like cable TV, telephone, in room safe, AC and room service. The Hotel TSG Emerald View boasts of a multi cuisine restaurant which has a wide range of options to choose from -- Chinese, Continental and Indian. The roof top restaurant of the hotel is the best place to sit and enjoy a meal under the starry sky with the view of the sea. This restaurant serves good traditional Indian cousine as well as sea food. The bar of the restaurant is well stocked with a variety of liquor. 

Please note however, that Port Blair being a small town, hotels do not necessarily match up to the service standards and room quality as in other cities or towns of India.",,tsg-emerald-view,"TSG Emerald View is one of the best budget hotels in Port Blair.","TSG Emerald View in Port Blair - Travel in India | Travellers Palm","tsg emerald view, port blair, hotel, andaman nicobar",1,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hotel President",Jamnagar,2468,,,,,,,,,,,,,,,,,,,,,,,,,,hotel-president,,"Hotel President in Jamnagar - Travel in India | Travellers Palm",,1,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hotel Dwarka Residency",Dwarka,2469,,,,,,,,,,,,,,,,,,,,,,,,,,hotel-dwarka-residency,,"Hotel Dwarka Residency in Dwarka - Travel in India | Travellers Palm",,1,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hotel Harmony",Porbandar,2470,,,,,,,,,,,,,,,,,,,,,,,,,,hotel-harmony-1,,"Hotel Harmony in Porbandar - Travel in India | Travellers Palm",,1,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hotel Indraprasht",Porbandar,2471,,,,,,,,,,,,,,,,,,,,,,,,,,hotel-indraprasht,,"Hotel Indraprasht in Porbandar - Travel in India | Travellers Palm",,1,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Safari Hotel & Resort",Somnath,2472,,,,,,,,,,,,,,,,,,,,,,,,,,safari-hotel-resort,,"Safari Hotel & Resort in Somnath - Travel in India | Travellers Palm",,1,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hotel Vishala",Junagadh,2473,,,,,,,,,,,,,,,,,,,,,,,,,,hotel-vishala,,"Hotel Vishala in Junagadh - Travel in India | Travellers Palm",,1,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bhavani Villa",Danta,2474,,,,,,,,,,,,,,,,,,,,,,,,,,bhavani-villa,,"Bhavani Villa in Danta - Travel in India | Travellers Palm",,1,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SMS Hotel",Jaipur,2476,"Conveniently located adjacent to the SMS Function Centre and Rambagh Palace, this boutique, 21-room business and leisure hotel is located in close proximity to business areas, shopping areas and the seat of Government. 

The hotel offers spacious guest rooms and quality services at an excellent value.",,,,,,,,,,,,,,,,,,,,,,,,,sms-hotel,,"SMS Hotel in Jaipur - Travel in India | Travellers Palm",,1,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hotel Airport International",Mumbai,2477,,,,,,,,,,,,,,,,,,,,,,,,,,hotel-airport-international,,"Hotel Airport International in Mumbai - Travel in India | Travellers Palm",,1,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hotel Parle International",Mumbai,2479,"Hotel Parle International is one of the best Three Star hotels in Mumbai - strategically located very close to Domestic airport & just ten minutes drive from the commerical / industrial & financial district of North Bombay such as Bandra - Kurla complex, Kalina, MIDC, Seepz, Andheri & the exhibitions ground at Goregaon & Juhu Beach area.For your accommodation in Mumbai, each of our 100 rooms is a statement in luxury & affordability.The elegant marble-floored rooms exude sophistication that is on par with the best in the Hospitality Industry along with round the clock coffee shop to satisfy your appetite for dining in Mumbai.",,,,,,,,,,,,,,,,,,,,,,,,,hotel-parle-international,,"Hotel Parle International in Mumbai - Travel in India | Travellers Palm",,1,,,,,,,,,,,,"Free High Speed Internet ( WiFi )",,"24 Hours Room Service,Hot & Cold water shower,Same day Laundry,Currency Exchange,Doctor on call,Multi-cuisine restaurant ,Car Hire ,Conference and banquet facilities ,Television with satellite channels ,Ticketing and courtesy Coach ,Safe Deposit Locker
",,1,0,,1,1,1,0,0,0,1,0,1,0,1,1,1,0,0,1
"Lotus Hotel",Leh,2480,"One of Leh's older hotels, Lotus Hotel is smaller, and thus more peaceful, than most. It is tastefully furnished throughout, almost resembling an old English country house hotel. The main bazaar of Leh is just a short walk away. 

There are a variety of common areas to relax in - a flowering lawn out front, a closed TV lounge and a lounge with traditional floor seating. The rooms are old fashioned, but large and quite grand.",,,,,,,,,,,,,,,,,,,,,,,"The rooms face the yellow flowers of the front lawn or the boulder strewn hill at the back. Slatted wood covers the walls and thick carpets line the floors, traditional d�cor in a land where winter temperatures can drop to minus 30 degrees centigrade. Even though Leh is only open to visitors in the summer months, the Lotus Hotel's central heating comes as a reassurance.

In common with most hotels in Leh, the Lotus Hotel serves buffet meals, with a mix of Indian, Continental and Tibetan food, plus a few local Ladakhi dishes on occasion. Food is laid out in the mango walled dining room, replete with Buddhist motifs.

The floor seating with comfortable bolsters on the terrace makes for an especially attractive spot in which to relax and enjoy the breeze blowing in from the mountains. Walks to and from the hotel mostly involve a 10 minute uphill climb.",,lotus-hotel,"A tastefully furnished hotel set against the backdrop of a rocky hill, the Lotus Hotel is set apart from the main bazaar of Leh. ","Lotus Hotel in Leh - Travel in India | Travellers Palm","lotus hotel, leh, ladakh, indus valley, special places",1,,,,,,,,,,,,,"Free Parking","Doctor on Call, Laundry & Dry Cleaning Service, Parking Facility
",,0,0,,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
"Hotel Greenpark",Pune,2481,,,,,,,,,,,,,,,,,,,,,,,,,,hotel-greenpark,,"Hotel Greenpark in Pune - Travel in India | Travellers Palm",,1,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Casa Piccola Cottage",Bangalore,2482,"Located in the heart of Bangalore, this heritage cottage dating back to 1915 has been lovingly restored to include modern facilities, whilst retaining the historic atmosphere.

Set in the middle of a lush green garden in a quiet lane in the heart of Bangalore, Casa Piccola Cottage offers 15 rooms on bed and breakfast basis. Breakfast in the pergola beside the immaculate lawn is a treat. 

",,,,,,,,,,,,,,,,,,,,,,,"Casa Piccola provides a wonderfully tranquil sanctuary from the busy city of Bangalore. Conveniently located in the heart of Bangalore city, the hotel is a good base for visits to the city market, the palaces, temples, shopping centres and good restaurants.

The heritage cottage offers comfortable accommodation at a moderate price, and the Indo/French owners are happy to give advice on how to make the most of your stay in this exciting city.

",,casa-piccola-cottage,"Located in the heart of Bangalore, this  heritage cottage dating back to 1915 has been lovingly restored to include modern facilities, whilst retaining the historic atmosphere.","Casa Piccola Cottage in Bangalore - Travel in India | Travellers Palm","casa piccola cottages, bangalore, heritage hotel, karnataka, special places",1,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Visco Resort",Mandi,2483,,,,,,,,,,,,,,,,,,,,,,,,,,visco-resort,,"Visco Resort in Mandi - Travel in India | Travellers Palm",,1,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"The Tower House",Kochi,2485,"The Tower House is an elegant boutique hotel housed in a historic Dutch building right in the heart of Fort Cochin. Rooms have views over the park and the Chinese fishing nets along the coast. 

The Tower House is more like a grand old house, rather than a hotel. It is a rambling bungalow with a roof of red tiles and a soothing whitewashed facade that conceals a well-tended lawn, a leafy courtyard and tasteful interiors.",,,,,,,,,,12:00,,,,,,13,,,,,,,"The Tower House, facing the Chinese fishing nets of Cochin, marks the spot of a 17th century light house. The understated classic look of the place fits in perfectly with its surroundings, set right in the heart of Fort Cochin's colonial heritage area. 

The hotel has vast high-ceilinged halls and arched doors flanked by colonial pillars. There is a large drawing room with wooden floor and authentic furniture and art. The fourteen rooms come in different sizes but are all comfortable and well-furnished.

There is a large beautiful pool with plenty of towels and sun chairs. The hotel also has restaurant on the ground floor.",,the-tower-house,,"The Tower House in Kochi - Travel in India | Travellers Palm",,1,14:00,,,,,,,,,,,,,,,1,0,,1,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0
"Snowland Resort",Leh,2487,"Snowland Resorts is a new structure built on a small hill, with unrestricted views over fields and snow topped mountains. 

It is these vistas that really make the hotel exceptional. Wooden balconies off the upper rooms and low windows of the ground floor rooms invite you to admire them. All rooms are unpretentious and clean.",,,,,,,,,,,,,,,,,,,,,,,"The rooms on the ground floor have wooden floors and walls in the style of a mountain cabin. These rooms have large windows that open onto the front lawn. The rooms on the first floor are more modern in their d�cor, with carpets and painted walls. The upper floors however have the advantage of the overhanging balconies that catch the warmth of the sun or the cool mountain air.

The food is served buffet style in the indoor dining room, and includes Indian, Continental, and Tibetan dishes. The lawn has a range of multi-coloured flowers and slightly tacky but practical plastic chairs and tables.",,snowland-resort,"Snowland Resorts is a new structure built on a small hill, with unrestricted views over fields and snow topped mountains. ","Snowland Resort in Leh - Travel in India | Travellers Palm","snowland resort, leh, hotel, ladakh, indus valley, special places",1,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hotel Pong View",Dharamsala,2488,,,,,,,,,,,,,,,,,,,,,,,,,,hotel-pong-view,,"Hotel Pong View in Dharamsala - Travel in India | Travellers Palm",,1,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nadesar Palace",Varanasi,2489,"Unlike most of Varanasi's other hotels, Nadesar Palace traces its history way back, adding a special dimension to your stay in this ancient city. 

Based in flower filled gardens and adjoining golf greens, the Palace is a handsome building flanked by twin-columned verandahs. 

Almost next to the Palace is the small temple of Godess Nadeshwari, after whom the Palace is named.",,,,,,5,,,,12:00,,,,,,10,,,,,"American Express, Visa, Mastercard",,"The gracious Nadesar Palace has hosted many world luminaries; the Prince and Princess of Wales (the young King George V and Queen Mary), King Reza Shah Pahlavi of Iran and Queen Sorraya, King Ibn Saud of Saudi Arabia, Emperor Haile Selassie of Ethiopia, King Mahendra Bikram Shah of Nepal, Lord Mountbatten, His Holiness the Dalai Lama and Queen Elizabeth II! The list is astounding.

The Palace offers only ten rooms of extremely generous size. There are Palace Rooms, Historical Suites and Royal Suites. Each has been decorated with contemporary touches which complement the gracious proportions. The rooms are elegance personified, with many overlooking the gardens and orchards outside. 

A swimming pool and golfing green offer relaxation after visits to the ghats of the Ganges in Varanasi, a 20 minute drive away. The in-house Jiva Spa offers Ayurvedic massages in a serene, almost spiritual ambience.",,nadesar-palace,"Unlike most of Varanasi's other hotels, Nadesar Palace traces its history way back, adding a special dimension to your stay in this ancient city. ","Nadesar Palace in Varanasi - Travel in India | Travellers Palm","nadesar palace, luxury, heritage hotel, taj, varanasi,  ganges, special places",1,14:00,"All children are welcome.
Free! One child under 12 years stays free of charge when using existing beds.  
One older child or adult is charged INR 2810 per person per night in an extra bed.
The maximum number of extra beds in a room is 1.
There is no capacity for cribs in the room.
Any type of extra bed or crib is upon request and needs to be confirmed by management.
Additional fees are not calculated automatically in the total cost and will have to be paid for separately during your stay.","Pets are not allowed.",,,"Outdoor Pool (all year), Grounds, Sun Deck, Balcony",,"Golf Course (within 2 miles), Fitness Center, Spa, Massage","Sitting area, Desk","Satellite channels, DVD Player, Flat-screen TV, Telephone","Restaurant With Dining Menu, Tea/Coffee maker, Minibar","WiFi is available in all areas and costs INR 220.60 per hour.","Free private parking is available on site (reservation is not needed).","Room Service, 24-Hour Front Desk, Tour Desk, Ticket Service, Concierge Service, Laundry, Dry Cleaning, Fax/Photocopying","Newspapers, Safe, Air conditioning, Safe",1,0,12,1,0,0,1,1,1,1,1,1,0,0,1,1,1,0,1
